TIME_NANOSECONDS_TAI,DATA_DELTA_VEL[1],DATA_DELTA_VEL[2],DATA_DELTA_VEL[3],DATA_DELTA_ANGLE[1],DATA_DELTA_ANGLE[2],DATA_DELTA_ANGLE[3]
1.6025960102293e+18,-0.18792724609375,-0.00048828125,-0.0478515625,-1.9073486328125e-06,3.814697265625e-06,1.9073486328125e-06
1.60259601024931e+18,-0.1903076171875,-0.0009765625,-0.0489501953125,1.9073486328125e-06,1.9073486328125e-06,0
1.60259601026931e+18,-0.18743896484375,0.0006103515625,-0.0498046875,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601028932e+18,-0.18927001953125,-0.0009765625,-0.04840087890625,-1.9073486328125e-06,3.814697265625e-06,1.9073486328125e-06
1.60259601030931e+18,-0.188720703125,-0.00103759765625,-0.0504150390625,0,-1.9073486328125e-06,0
1.60259601032931e+18,-0.18951416015625,-0.000732421875,-0.0489501953125,1.9073486328125e-06,3.814697265625e-06,0
1.60259601034931e+18,-0.18902587890625,-0.000732421875,-0.0489501953125,-1.9073486328125e-06,1.9073486328125e-06,0
1.6025960103693e+18,-0.1895751953125,-0.00128173828125,-0.04925537109375,0,0,-1.9073486328125e-06
1.60259601038931e+18,-0.18841552734375,6.103515625e-05,-0.0489501953125,0,3.814697265625e-06,0
1.60259601040931e+18,-0.1884765625,-0.00042724609375,-0.04840087890625,-1.9073486328125e-06,0,-1.9073486328125e-06
1.6025960104293e+18,-0.1898193359375,-0.000732421875,-0.05010986328125,1.9073486328125e-06,0,0
1.60259601044931e+18,-0.18902587890625,-0.00103759765625,-0.0489501953125,0,0,0
1.60259601046931e+18,-0.18896484375,-0.0009765625,-0.04840087890625,0,0,0
1.60259601048931e+18,-0.1898193359375,-0.00103759765625,-0.0489501953125,0,3.814697265625e-06,-1.9073486328125e-06
1.6025960105093e+18,-0.1900634765625,-0.00128173828125,-0.05010986328125,-1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601052931e+18,-0.1871337890625,-0.00018310546875,-0.04840087890625,-1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601054931e+18,-0.18927001953125,-0.0009765625,-0.04864501953125,0,1.9073486328125e-06,-1.9073486328125e-06
1.6025960105693e+18,-0.1895751953125,6.103515625e-05,-0.049560546875,1.9073486328125e-06,0,-1.9073486328125e-06
1.6025960105893e+18,-0.18896484375,-0.00103759765625,-0.04864501953125,1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601060931e+18,-0.18927001953125,-0.001220703125,-0.049560546875,0,3.814697265625e-06,-3.814697265625e-06
1.6025960106293e+18,-0.188232421875,6.103515625e-05,-0.0489501953125,0,1.9073486328125e-06,-1.9073486328125e-06
1.6025960106493e+18,-0.1900634765625,-0.00128173828125,-0.0498046875,-3.814697265625e-06,1.9073486328125e-06,1.9073486328125e-06
1.60259601066931e+18,-0.188720703125,-0.00018310546875,-0.04925537109375,1.9073486328125e-06,0,0
1.60259601068931e+18,-0.1884765625,-0.0015869140625,-0.04754638671875,3.814697265625e-06,-1.9073486328125e-06,-1.9073486328125e-06
1.6025960107093e+18,-0.18927001953125,-0.00018310546875,-0.049560546875,-1.9073486328125e-06,0,0
1.6025960107293e+18,-0.18878173828125,-0.00018310546875,-0.04840087890625,0,0,0
1.60259601074931e+18,-0.18896484375,-0.0009765625,-0.04864501953125,0,0,1.9073486328125e-06
1.6025960107693e+18,-0.1884765625,-0.00048828125,-0.0489501953125,-1.9073486328125e-06,0,-1.9073486328125e-06
1.6025960107893e+18,-0.18902587890625,-0.00018310546875,-0.04986572265625,-1.9073486328125e-06,0,1.9073486328125e-06
1.60259601080931e+18,-0.188720703125,-0.000732421875,-0.04864501953125,0,1.9073486328125e-06,-1.9073486328125e-06
